id,title,runtime,budget,revenue,vote_average,vote_count,genres,studios,profit,profit_margin
644,A.I. Artificial Intelligence,146,100.0,235.926552,3.25,14068,Science Fiction,DreamWorks SKG,135.926552,0.5761392723613407
644,A.I. Artificial Intelligence,146,100.0,235.926552,3.25,14068,Drama,DreamWorks SKG,135.926552,0.5761392723613407
644,A.I. Artificial Intelligence,146,100.0,235.926552,3.25,14068,Science Fiction,Warner Bros.,135.926552,0.5761392723613407
644,A.I. Artificial Intelligence,146,100.0,235.926552,3.25,14068,Drama,Warner Bros.,135.926552,0.5761392723613407
652,Troy,163,175.0,497.409852,3.34,9806,War,Warner Bros.,322.409852,0.6481774550778299
652,Troy,163,175.0,497.409852,3.34,9806,Drama,Warner Bros.,322.409852,0.6481774550778299
664,Twister,113,92.0,494.471524,3.22,38113,Action,Warner Bros.,402.471524,0.8139427741849093
664,Twister,113,92.0,494.471524,3.22,38113,Drama,Warner Bros.,402.471524,0.8139427741849093
686,Contact,150,90.0,171.120329,3.67,23900,Science Fiction,Warner Bros.,81.120329,0.47405430713027674
686,Contact,150,90.0,171.120329,3.67,23900,Drama,Warner Bros.,81.120329,0.47405430713027674
688,The Bridges of Madison County,135,24.0,182.016617,3.33,11182,Romance,Warner Bros.,158.016617,0.8681439068829633
688,The Bridges of Madison County,135,24.0,182.016617,3.33,11182,Drama,Warner Bros.,158.016617,0.8681439068829633
693,Meet the Fockers,115,80.0,516.642939,3.06,6611,Romance,DreamWorks SKG,436.64293899999996,0.8451541791031814
693,Meet the Fockers,115,80.0,516.642939,3.06,6611,Comedy,DreamWorks SKG,436.64293899999996,0.8451541791031814
694,The Shining,144,19.0,44.017374,4.01,30084,Horror,Warner Bros.,25.017373999999997,0.5683522601779925
744,Top Gun,110,15.0,356.830601,3.41,22865,Action,Paramount Pictures,341.830601,0.9579632465434208
744,Top Gun,110,15.0,356.830601,3.41,22865,War,Paramount Pictures,341.830601,0.9579632465434208
744,Top Gun,110,15.0,356.830601,3.41,22865,Romance,Paramount Pictures,341.830601,0.9579632465434208
752,V for Vendetta,132,54.0,132.511035,3.92,24416,Action,Warner Bros.,78.51103499999999,0.5924867691207755
754,Face/Off,138,80.0,245.676146,3.33,21433,Action,Paramount Pictures,165.676146,0.6743680601371856
754,Face/Off,138,80.0,245.676146,3.33,21433,Science Fiction,Paramount Pictures,165.676146,0.6743680601371856
795,City of Angels,114,55.0,198.685114,3.2800000000000002,6323,Romance,Warner Bros.,143.685114,0.723180066726086
795,City of Angels,114,55.0,198.685114,3.2800000000000002,6323,Drama,Warner Bros.,143.685114,0.723180066726086
805,Rosemary's Baby,136,3.2,33.395426,3.74,9545,Horror,Paramount Pictures,30.195426,0.9041784943842309
805,Rosemary's Baby,136,3.2,33.395426,3.74,9545,Drama,Paramount Pictures,30.195426,0.9041784943842309
808,Shrek,90,60.0,484.409218,3.79,43660,Animation,DreamWorks SKG,424.409218,0.8761377823326227
808,Shrek,90,60.0,484.409218,3.79,43660,Comedy,DreamWorks SKG,424.409218,0.8761377823326227
808,Shrek,90,60.0,484.409218,3.79,43660,Animation,DreamWorks Animation,424.409218,0.8761377823326227
808,Shrek,90,60.0,484.409218,3.79,43660,Comedy,DreamWorks Animation,424.409218,0.8761377823326227
809,Shrek 2,93,150.0,919.838758,3.51,19904,Animation,DreamWorks SKG,769.838758,0.8369279412338048
809,Shrek 2,93,150.0,919.838758,3.51,19904,Comedy,DreamWorks SKG,769.838758,0.8369279412338048
809,Shrek 2,93,150.0,919.838758,3.51,19904,Animation,DreamWorks Animation,769.838758,0.8369279412338048
809,Shrek 2,93,150.0,919.838758,3.51,19904,Comedy,DreamWorks Animation,769.838758,0.8369279412338048
810,Shrek the Third,93,160.0,798.958165,2.98,4104,Animation,DreamWorks SKG,638.958165,0.7997392016138918
810,Shrek the Third,93,160.0,798.958165,2.98,4104,Comedy,DreamWorks SKG,638.958165,0.7997392016138918
810,Shrek the Third,93,160.0,798.958165,2.98,4104,Animation,DreamWorks Animation,638.958165,0.7997392016138918
810,Shrek the Third,93,160.0,798.958165,2.98,4104,Comedy,DreamWorks Animation,638.958165,0.7997392016138918
812,Aladdin,90,28.0,504.050219,3.69,50375,Animation,Walt Disney Pictures,476.050219,0.9444499794969834
812,Aladdin,90,28.0,504.050219,3.69,50375,Romance,Walt Disney Pictures,476.050219,0.9444499794969834
812,Aladdin,90,28.0,504.050219,3.69,50375,Comedy,Walt Disney Pictures,476.050219,0.9444499794969834
813,Airplane!,88,3.5,83.453539,3.79,21907,Comedy,Paramount Pictures,79.953539,0.9580604963918906
816,Austin Powers: International Man of Mystery,94,16.5,67.683989,3.4,25911,Comedy,New Line Cinema,51.183989,0.7562200419363581
816,Austin Powers: International Man of Mystery,94,16.5,67.683989,3.4,25911,Science Fiction,New Line Cinema,51.183989,0.7562200419363581
817,Austin Powers: The Spy Who Shagged Me,95,33.0,310.940086,3.19,28072,Science Fiction,New Line Cinema,277.940086,0.893870229392038
817,Austin Powers: The Spy Who Shagged Me,95,33.0,310.940086,3.19,28072,Comedy,New Line Cinema,277.940086,0.893870229392038
818,Austin Powers in Goldmember,94,63.0,296.655431,2.95,11139,Science Fiction,New Line Cinema,233.65543100000002,0.7876324064331727
818,Austin Powers in Goldmember,94,63.0,296.655431,2.95,11139,Comedy,New Line Cinema,233.65543100000002,0.7876324064331727
819,Sleepers,147,44.0,165.615285,3.63,10336,Drama,Warner Bros.,121.615285,0.7343240389919324
820,JFK,189,40.0,205.405498,3.65,8780,Drama,Warner Bros.,165.405498,0.8052632456800158
820,JFK,189,40.0,205.405498,3.65,8780,History,Warner Bros.,165.405498,0.8052632456800158
829,Chinatown,130,6.0,30.0,4.16,18397,Drama,Paramount Pictures,24.0,0.8
853,Enemy at the Gates,131,68.0,96.97627,3.7199999999999998,9202,War,Paramount Pictures,28.97627,0.29879753057113867
854,The Mask,101,23.0,351.583407,3.18,37660,Romance,New Line Cinema,328.583407,0.9345816681274722
854,The Mask,101,23.0,351.583407,3.18,37660,Comedy,New Line Cinema,328.583407,0.9345816681274722
